Name;Exchange Score;Volume(24h);Avg. Liquidity;Weekly Visits;XEM Listed;XYM Listed;Blockers
BitForex;3.7;264122399;381;480372;0;0;null
B2BX;3.7;2058934;349;2327;0;0;null
Kuna;3.7;1560508;366;82488;1;0;null
Biconomy Exchange;3.7;42540642;256;18503;0;0;null
50x;3.7;386316;189;8609;0;0;null
BTCBOX;3.6;43075819;317;6014;0;0;null
KickEX;3.6;5503287;292;18826;0;0;null
Giottus;3.6;468396121;252;136463;0;0;null
SINEGY Marketplace;3.6;22467162;410;2282;0;0;null
BingX;3.6;51832679;379;166464;0;0;null
Huobi Japan;3.6;20737084;554;32460;0;0;null
Unocoin;3.6;159037;187;21813;0;0;null
Bitvast;3.6;2910646;355;126;0;0;null
Coinzo;3.6;439;406;11669;0;0;null
ACE;3.5;8276874;299;13618;0;0;null
CoinTiger;3.5;15759701;408;82083;1;0;null
Bibox;3.5;395598202;364;146264;1;1;null
Paymium;3.5;26903;373;8272;0;0;null
TimeX;3.5;2013866;283;7125;0;0;null
TOKENCAN;3.5;218547938;null;677;0;0;null
digitalexchange.id;3.5;462889;335;5357;0;0;null
BTSE;3.5;17619009;439;10014;0;0;null
Bitazza;3.5;1821218;null;83686;0;0;null
Alterdice;3.4;2728205;270;8329;0;0;null
ZBG;3.4;1439353341;432;13921;1;1;null
Coinut;3.4;4861;356;10903;0;0;null
Felixo;3.4;2798147;297;7370;0;0;null
Hanbitco;3.4;746421;104;2911;0;0;null
BitClude;3.4;7273;360;11140;0;0;null
Coindeal;3.4;14779931;265;9330;0;0;null
Bitay;3.4;18140036;389;44254;0;0;null
Paritex;3.4;14492341;264;972;0;0;null
Hoo;3.4;53046819;322;135788;0;0;null
Nominex;3.4;1500458;429;94686;0;0;null
Coineal;3.4;4915201;438;10983;0;0;null
Balancer (V2);3.4;11909483;null;62147;0;0;null
Namebase;3.3;8409;346;60697;0;0;null
VinDAX;3.3;6142636;386;67359;1;0;null
Changelly PRO;3.3;1435009934;354;7710;0;0;null
Decoin;3.3;85344036;388;26990;0;0;null
EXIR;3.3;340584;251;11302;0;0;null
Narkasa;3.3;155953;286;527;0;0;null
BitoPro;3.2;6629751;null;79038;0;0;null
Emirex;3.2;2036697;null;6453;0;0;null
Cat.Ex;3.2;38931206;384;30623;0;0;null
Finexbox;3.2;21085791;331;43032;1;0;null
Dove Wallet;3.2;110306;281;48217;0;0;null
Tokenize Xchange;3.1;43467987;349;60312;0;0;null
Crex24;3.1;3026537;218;268930;1;0;null
Hotcoin Global;3.1;148219146;184;247;0;0;null
VALR;3.1;2847173;null;31590;1;0;null
GOPAX;3.1;4381108;203;87660;0;0;null
Artis Turba;3.1;3031;277;377;0;0;null
Bvnex;3.1;3642132;null;670;0;0;null
CoinFalcon;3.1;2174;287;7578;0;0;null
Altcoin Trader;3.1;2299130;null;317975;0;0;null
LiteBit.eu;3.1;200728;null;176857;0;0;null
Zonda (BitBay);3;4328542;391;166601;0;0;null
BTC-Alpha;3;1392510;351;172596;1;0;null
PayBito;3;19307751;358;2282;0;0;null
SecondBTC;3;365665;246;215;0;0;null
APROBIT;3;124817;246;1289;0;0;null
Ubeswap;3;147959;null;19770;0;0;null
Dcoin;3;66714798;260;43423;0;0;null
GDAC;3;104384;null;22279;0;0;null
Txbit;3;903403;null;24565;0;0;null
TradeOgre;3;898292;null;702249;0;0;null
BitClover (Hotbit Korea);2.9;50249008;342;6219;1;1;null
BITEXLIVE;2.9;12797322;180;1450;0;0;null
SouthXchange;2.9;106069;225;31506;0;0;null
CoinCorner;2.9;6342101;null;14434;0;0;null
Bitonic;2.9;621143;null;31314;0;0;null
YoBit;2.9;11449565;222;412488;1;0;null
CoinCasso;2.9;440029;null;8102;0;0;null
LCX Exchange;2.9;122709548;177;15973;0;0;null
BitcoinTrade;2.9;355838;null;23968;0;0;null
Tidebit;2.8;2669411;null;1663;0;0;null
